"Question Label";"Question Label"
"Choice Label";"Choice Label"
"Profile Type Label";"Profile Type Label"
"<a id=""photo-label"" href=""javascript:showUploader();"">Attach a Photo</a>";"<a id=""photo-label"" href=""javascript:showUploader();"">Attach a Photo</a>"
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your members can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"{item:$subject} tagged you in a {item:$object:$label}.";"{item:$subject} tagged you in a {1item:$object:$label}."
"{item:$subject} reacted to your {item:$object:$label}.";"{item:$subject} reacted to your {item:$object:$label}."
"{item:$subject} changed their {translate:$label} to ""{var:$value}"".";"{item:$subject} changed their {translate:$label} to ""{var:$value}""."
"{item:$subject} tagged {item:$object} in a {var:$label}:";"{item:$subject} tagged {item:$object} in a {var:$label}:"
"{item:$subject} likes your {item:$object:$label}.";"{item:$subject} likes your {item:$object:$label}."
"{item:$subject} has commented on your {item:$object:$label}.";"{item:$subject} has commented on your {item:$object:$label}."
"{item:$subject} has commented on a {item:$object:$label} you commented on.";"{item:$subject} has commented on a {item:$object:$label} you commented on."
"{item:$subject} has commented on a {item:$object:$label} you liked.";"{item:$subject} has commented on a {item:$object:$label} you liked."
"Label";"Label"
"{item:$subject} tagged you in a {item:$object:$label}.";"{item:$subject} tagged you in a {item:$object:$label}."
